,lat,lon
279,59.11,11.03
280,59.11,11.2
281,59.11,11.37
282,59.11,11.54
283,59.11,11.71
284,59.19,5.48
285,59.19,5.64
286,59.19,5.81
287,59.19,5.98
288,59.19,6.15
289,59.19,6.32
290,59.19,6.49
291,59.19,6.66
292,59.19,6.82
293,59.19,6.99
294,59.19,7.16
295,59.19,7.33
296,59.19,7.5
297,59.19,7.67
298,59.19,7.83
299,59.19,8.0
300,59.19,8.17
301,59.19,8.34
302,59.19,8.51
303,59.19,8.68
304,59.19,8.84
305,59.19,9.01
306,59.19,9.18
307,59.19,9.35
308,59.19,9.52
309,59.19,9.69
310,59.19,9.85
311,59.19,10.02
312,59.19,10.19
313,59.19,10.36
314,59.19,10.87
315,59.19,11.03
316,59.19,11.2
317,59.19,11.37
318,59.19,11.54
319,59.19,11.71
320,59.19,11.88
321,59.27,5.48
322,59.27,5.64
323,59.27,5.81
324,59.27,5.98
325,59.27,6.15
326,59.27,6.32
327,59.27,6.49
328,59.27,6.66
329,59.27,6.82
330,59.27,6.99
331,59.27,7.16
332,59.27,7.33
333,59.27,7.5
334,59.27,7.67
335,59.27,7.83
336,59.27,8.0
337,59.27,8.17
338,59.27,8.34
339,59.27,8.51
340,59.27,8.68
341,59.27,8.84
342,59.27,9.01
343,59.27,9.18
344,59.27,9.35
345,59.27,9.52
346,59.27,9.69
347,59.27,9.85
348,59.27,10.02
349,59.27,10.19
350,59.27,10.36
351,59.27,10.7
352,59.27,10.87
353,59.27,11.03
354,59.27,11.2
355,59.27,11.37
356,59.27,11.54
357,59.27,11.71
358,59.27,11.88
359,59.36,5.31
360,59.36,5.48
361,59.36,5.64
362,59.36,5.81
363,59.36,5.98
364,59.36,6.15
365,59.36,6.32
366,59.36,6.49
367,59.36,6.66
368,59.36,6.82
369,59.36,6.99
370,59.36,7.16
371,59.36,7.33
372,59.36,7.5
373,59.36,7.67
374,59.36,7.83
375,59.36,8.0
376,59.36,8.17
377,59.36,8.34
378,59.36,8.51
379,59.36,8.68
380,59.36,8.84
381,59.36,9.01
382,59.36,9.18
383,59.36,9.35
384,59.36,9.52
385,59.36,9.69
386,59.36,9.85
387,59.36,10.02
388,59.36,10.19
389,59.36,10.36
390,59.36,10.53
391,59.36,10.7
392,59.36,10.87
393,59.36,11.03
394,59.36,11.2
395,59.36,11.37
396,59.36,11.54
397,59.36,11.71
398,59.36,11.88
399,59.44,5.31
400,59.44,5.48
401,59.44,5.64
402,59.44,5.81
403,59.44,5.98
404,59.44,6.15
405,59.44,6.32
406,59.44,6.49
407,59.44,6.66
408,59.44,6.82
409,59.44,6.99
410,59.44,7.16
411,59.44,7.33
412,59.44,7.5
413,59.44,7.67
414,59.44,7.83
415,59.44,8.0
416,59.44,8.17
417,59.44,8.34
418,59.44,8.51
419,59.44,8.68
420,59.44,8.84
421,59.44,9.01
422,59.44,9.18
423,59.44,9.35
424,59.44,9.52
425,59.44,9.69
426,59.44,9.85
427,59.44,10.02
428,59.44,10.19
429,59.44,10.36
430,59.44,10.53
431,59.44,10.7
432,59.44,10.87
433,59.44,11.03
434,59.44,11.2
435,59.44,11.37
436,59.44,11.54
437,59.44,11.71
438,59.44,11.88
439,59.44,12.04
440,59.52,5.31
441,59.52,5.48
442,59.52,5.64
443,59.52,5.81
444,59.52,5.98
445,59.52,6.15
446,59.52,6.32
447,59.52,6.49
448,59.52,6.66
449,59.52,6.82
450,59.52,6.99
451,59.52,7.16
452,59.52,7.33
453,59.52,7.5
454,59.52,7.67
455,59.52,7.83
456,59.52,8.0
457,59.52,8.17
458,59.52,8.34
459,59.52,8.51
460,59.52,8.68
461,59.52,8.84
462,59.52,9.01
463,59.52,9.18
464,59.52,9.35
465,59.52,9.52
466,59.52,9.69
467,59.52,9.85
468,59.52,10.02
469,59.52,10.19
470,59.52,10.36
471,59.52,10.53
472,59.52,10.7
473,59.52,10.87
474,59.52,11.03
475,59.52,11.2
476,59.52,11.37
477,59.52,11.54
478,59.52,11.71
479,59.52,11.88
480,59.52,12.04
481,59.6,5.31
482,59.6,5.48
483,59.6,5.64
484,59.6,5.81
485,59.6,5.98
486,59.6,6.15
487,59.6,6.32
488,59.6,6.49
489,59.6,6.66
490,59.6,6.82
491,59.6,6.99
492,59.6,7.16
493,59.6,7.33
494,59.6,7.5
495,59.6,7.67
496,59.6,7.83
497,59.6,8.0
498,59.6,8.17
499,59.6,8.34
500,59.6,8.51
501,59.6,8.68
502,59.6,8.84
503,59.6,9.01
504,59.6,9.18
505,59.6,9.35
506,59.6,9.52
507,59.6,9.69
508,59.6,9.85
509,59.6,10.02
510,59.6,10.19
511,59.6,10.36
512,59.6,10.53
513,59.6,10.7
514,59.6,10.87
515,59.6,11.03
516,59.6,11.2
517,59.6,11.37
518,59.6,11.54
519,59.6,11.71
520,59.6,11.88
521,59.6,12.04
522,59.68,5.31
523,59.68,5.48
524,59.68,5.64
525,59.68,5.81
526,59.68,5.98
527,59.68,6.15
528,59.68,6.32
529,59.68,6.49
530,59.68,6.66
531,59.68,6.82
532,59.68,6.99
533,59.68,7.16
534,59.68,7.33
535,59.68,7.5
536,59.68,7.67
537,59.68,7.83
538,59.68,8.0
539,59.68,8.17
540,59.68,8.34
541,59.68,8.51
542,59.68,8.68
543,59.68,8.84
544,59.68,9.01
545,59.68,9.18
546,59.68,9.35
547,59.68,9.52
548,59.68,9.69
549,59.68,9.85
550,59.68,10.02
551,59.68,10.19
552,59.68,10.36
553,59.68,10.53
554,59.68,10.7
555,59.68,10.87
556,59.68,11.03
557,59.68,11.2
558,59.68,11.37
559,59.68,11.54
560,59.68,11.71
561,59.68,11.88
562,59.68,12.04
563,59.76,5.31
564,59.76,5.48
565,59.76,5.64
566,59.76,5.81
567,59.76,5.98
568,59.76,6.15
569,59.76,6.32
570,59.76,6.49
571,59.76,6.66
572,59.76,6.82
573,59.76,6.99
574,59.76,7.16
575,59.76,7.33
576,59.76,7.5
577,59.76,7.67
578,59.76,7.83
579,59.76,8.0
580,59.76,8.17
581,59.76,8.34
582,59.76,8.51
583,59.76,8.68
584,59.76,8.84
585,59.76,9.01
586,59.76,9.18
587,59.76,9.35
588,59.76,9.52
589,59.76,9.69
590,59.76,9.85
591,59.76,10.02
592,59.76,10.19
593,59.76,10.36
594,59.76,10.53
595,59.76,10.7
596,59.76,10.87
597,59.76,11.03
598,59.76,11.2
599,59.76,11.37
600,59.76,11.54
601,59.76,11.71
602,59.76,11.88
603,59.76,12.04
604,59.76,12.21
605,59.84,5.14
606,59.84,5.31
607,59.84,5.48
608,59.84,5.64
609,59.84,5.81
610,59.84,5.98
611,59.84,6.15
612,59.84,6.32
613,59.84,6.49
614,59.84,6.66
615,59.84,6.82
616,59.84,6.99
617,59.84,7.16
618,59.84,7.33
619,59.84,7.5
620,59.84,7.67
621,59.84,7.83
622,59.84,8.0
623,59.84,8.17
624,59.84,8.34
625,59.84,8.51
626,59.84,8.68
627,59.84,8.84
628,59.84,9.01
629,59.84,9.18
630,59.84,9.35
631,59.84,9.52
632,59.84,9.69
633,59.84,9.85
634,59.84,10.02
635,59.84,10.19
636,59.84,10.36
637,59.84,10.53
638,59.84,10.7
639,59.84,10.87
640,59.84,11.03
641,59.84,11.2
642,59.84,11.37
643,59.84,11.54
644,59.84,11.71
645,59.84,11.88
646,59.84,12.04
647,59.84,12.21
648,59.93,5.14
649,59.93,5.31
650,59.93,5.48
651,59.93,5.64
652,59.93,5.81
653,59.93,5.98
654,59.93,6.15
655,59.93,6.32
656,59.93,6.49
657,59.93,6.66
658,59.93,6.82
659,59.93,6.99
660,59.93,7.16
661,59.93,7.33
662,59.93,7.5
663,59.93,7.67
664,59.93,7.83
665,59.93,8.0
666,59.93,8.17
667,59.93,8.34
668,59.93,8.51
669,59.93,8.68
670,59.93,8.84
671,59.93,9.01
672,59.93,9.18
673,59.93,9.35
674,59.93,9.52
675,59.93,9.69
676,59.93,9.85
677,59.93,10.02
678,59.93,10.19
679,59.93,10.36
680,59.93,10.53
681,59.93,10.7
682,59.93,10.87
683,59.93,11.03
684,59.93,11.2
685,59.93,11.37
686,59.93,11.54
687,59.93,11.71
688,59.93,11.88
689,59.93,12.04
690,59.93,12.21
691,60.01,5.14
692,60.01,5.31
693,60.01,5.48
694,60.01,5.64
695,60.01,5.81
696,60.01,5.98
697,60.01,6.15
698,60.01,6.32
699,60.01,6.49
700,60.01,6.66
701,60.01,6.82
702,60.01,6.99
703,60.01,7.16
704,60.01,7.33
705,60.01,7.5
706,60.01,7.67
707,60.01,7.83
708,60.01,8.0
709,60.01,8.17
710,60.01,8.34
711,60.01,8.51
712,60.01,8.68
713,60.01,8.84
714,60.01,9.01
715,60.01,9.18
716,60.01,9.35
717,60.01,9.52
718,60.01,9.69
719,60.01,9.85
720,60.01,10.02
721,60.01,10.19
722,60.01,10.36
723,60.01,10.53
724,60.01,10.7
725,60.01,10.87
726,60.01,11.03
727,60.01,11.2
728,60.01,11.37
729,60.01,11.54
730,60.01,11.71
731,60.01,11.88
732,60.01,12.04
733,60.01,12.21
734,60.01,12.38
735,60.09,5.14
736,60.09,5.31
737,60.09,5.48
738,60.09,5.64
739,60.09,5.81
740,60.09,5.98
741,60.09,6.15
742,60.09,6.32
743,60.09,6.49
744,60.09,6.66
745,60.09,6.82
746,60.09,6.99
747,60.09,7.16
748,60.09,7.33
749,60.09,7.5
750,60.09,7.67
751,60.09,7.83
752,60.09,8.0
753,60.09,8.17
754,60.09,8.34
755,60.09,8.51
756,60.09,8.68
757,60.09,8.84
