lat,lon,country
58.46,6.25,Norway
58.46,6.34,Norway
58.46,6.42,Norway
58.46,6.51,Norway
58.46,6.59,Norway
58.46,6.68,Norway
58.46,6.76,Norway
58.46,6.85,Norway
58.46,6.93,Norway
58.46,7.02,Norway
58.46,7.1,Norway
58.46,7.19,Norway
58.46,7.27,Norway
58.46,7.36,Norway
58.46,7.44,Norway
58.46,7.53,Norway
58.46,7.61,Norway
58.46,7.7,Norway
58.46,7.78,Norway
58.46,7.87,Norway
58.46,7.95,Norway
58.46,8.04,Norway
58.46,8.12,Norway
58.46,8.21,Norway
58.46,8.29,Norway
58.46,8.38,Norway
58.46,8.46,Norway
58.46,8.55,Norway
58.46,8.63,Norway
58.46,8.72,Norway
58.46,8.8,Norway
58.46,8.89,Norway
58.51,5.74,Norway
58.51,5.83,Norway
58.51,5.91,Norway
58.51,6.0,Norway
58.51,6.08,Norway
58.51,6.17,Norway
58.51,6.25,Norway
58.51,6.34,Norway
58.51,6.42,Norway
58.51,6.51,Norway
58.51,6.59,Norway
58.51,6.68,Norway
58.51,6.76,Norway
58.51,6.85,Norway
58.51,6.93,Norway
58.51,7.02,Norway
58.51,7.1,Norway
58.51,7.19,Norway
58.51,7.27,Norway
58.51,7.36,Norway
58.51,7.44,Norway
58.51,7.53,Norway
58.51,7.61,Norway
58.51,7.7,Norway
58.51,7.78,Norway
58.51,7.87,Norway
58.51,7.95,Norway
58.51,8.04,Norway
58.51,8.12,Norway
58.51,8.21,Norway
58.51,8.29,Norway
58.51,8.38,Norway
58.51,8.46,Norway
58.51,8.55,Norway
58.51,8.63,Norway
58.51,8.72,Norway
58.51,8.8,Norway
58.51,8.89,Norway
58.51,8.97,Norway
58.55,5.66,Norway
58.55,5.74,Norway
58.55,5.83,Norway
58.55,5.91,Norway
58.55,6.0,Norway
58.55,6.08,Norway
58.55,6.17,Norway
58.55,6.25,Norway
58.55,6.34,Norway
58.55,6.42,Norway
58.55,6.51,Norway
58.55,6.59,Norway
58.55,6.68,Norway
58.55,6.76,Norway
58.55,6.85,Norway
58.55,6.93,Norway
58.55,7.02,Norway
58.55,7.1,Norway
58.55,7.19,Norway
58.55,7.27,Norway
58.55,7.36,Norway
58.55,7.44,Norway
58.55,7.53,Norway
58.55,7.61,Norway
58.55,7.7,Norway
58.55,7.78,Norway
58.55,7.87,Norway
58.55,7.95,Norway
58.55,8.04,Norway
58.55,8.12,Norway
58.55,8.21,Norway
58.55,8.29,Norway
58.55,8.38,Norway
58.55,8.46,Norway
58.55,8.55,Norway
58.55,8.63,Norway
58.55,8.72,Norway
58.55,8.8,Norway
58.55,8.89,Norway
58.55,8.97,Norway
58.59,5.66,Norway
58.59,5.74,Norway
58.59,5.83,Norway
