,latitude,longitude,date,time,symbol,temperature,wind,weatherRank,maxRank
44,60.021565038901926,10.053641933810892,2022-11-05,15:00:00,fair_night,7.3,0.6,0.8579899064518224,0.8666872756439521
36,60.021565038901926,10.053641933810892,2022-11-05,07:00:00,fair_day,7.2,1.5,0.8566946462164577,0.8666872756439521
38,60.021565038901926,10.053641933810892,2022-11-05,09:00:00,fair_day,7.1,0.9,0.8565382983468351,0.8666872756439521
33,60.021565038901926,10.053641933810892,2022-11-05,04:00:00,partlycloudy_day,7.7,1.5,0.8559651520696611,0.8666872756439521
37,60.021565038901926,10.053641933810892,2022-11-05,08:00:00,fair_day,7.0,1.2,0.8556901654000232,0.8666872756439521
34,60.021565038901926,10.053641933810892,2022-11-05,05:00:00,partlycloudy_day,7.4,0.9,0.854492062580454,0.8666872756439521
35,60.021565038901926,10.053641933810892,2022-11-05,06:00:00,partlycloudy_day,7.4,1.6,0.8539106298123509,0.8666872756439521
45,60.021565038901926,10.053641933810892,2022-11-05,16:00:00,fair_night,5.9,1.1,0.8490536972525933,0.8666872756439521
46,60.021565038901926,10.053641933810892,2022-11-05,17:00:00,fair_night,4.8,1.3,0.842648488539693,0.8666872756439521
47,60.021565038901926,10.053641933810892,2022-11-05,18:00:00,partlycloudy_night,4.2,1.2,0.8355577711082333,0.8666872756439521
29,60.021565038901926,10.053641933810892,2022-11-05,00:00:00,rain,8.4,4.5,0.647375030004469,0.8666872756439521
31,60.021565038901926,10.053641933810892,2022-11-05,02:00:00,lightrain,8.8,3.9,0.26634454092942694,0.8666872756439521
32,60.021565038901926,10.053641933810892,2022-11-05,03:00:00,lightrainshowers_day,8.3,3.2,0.265687618640418,0.8666872756439521
30,60.021565038901926,10.053641933810892,2022-11-05,01:00:00,lightrain,8.6,5.5,0.2514196114057449,0.8666872756439521
42,60.20142936008567,10.053641933810892,2022-11-05,13:00:00,fair_day,8.6,1.1,0.8663233095508169,0.8663233095508169
41,60.20142936008567,10.053641933810892,2022-11-05,12:00:00,fair_day,8.3,0.8,0.8644767087991129,0.8663233095508169
43,60.20142936008567,10.053641933810892,2022-11-05,14:00:00,fair_night,8.3,1.2,0.8641990713476905,0.8663233095508169
40,60.20142936008567,10.053641933810892,2022-11-05,11:00:00,fair_day,7.9,0.5,0.8619577527428317,0.8663233095508169
39,60.20142936008567,10.053641933810892,2022-11-05,10:00:00,fair_day,7.3,1.2,0.8575997996481178,0.8663233095508169
44,60.20142936008567,10.053641933810892,2022-11-05,15:00:00,fair_night,6.8,0.9,0.8546508476844437,0.8663233095508169
38,60.20142936008567,10.053641933810892,2022-11-05,09:00:00,fair_day,6.4,1.5,0.8517064979672484,0.8663233095508169
45,60.20142936008567,10.053641933810892,2022-11-05,16:00:00,fair_night,5.2,1.0,0.8450956438444611,0.8663233095508169
37,60.20142936008567,10.053641933810892,2022-11-05,08:00:00,partlycloudy_day,5.8,1.2,0.8444226903802899,0.8663233095508169
35,60.20142936008567,10.053641933810892,2022-11-05,06:00:00,partlycloudy_day,5.9,2.2,0.8438657838403798,0.8663233095508169
36,60.20142936008567,10.053641933810892,2022-11-05,07:00:00,partlycloudy_day,5.7,1.8,0.8432484131763934,0.8663233095508169
46,60.20142936008567,10.053641933810892,2022-11-05,17:00:00,fair_night,4.0,1.1,0.8385644269467337,0.8663233095508169
34,60.20142936008567,10.053641933810892,2022-11-05,05:00:00,cloudy,6.3,2.8,0.8379873665220827,0.8663233095508169
47,60.20142936008567,10.053641933810892,2022-11-05,18:00:00,partlycloudy_night,3.2,0.8,0.8308089750618417,0.8663233095508169
29,60.20142936008567,10.053641933810892,2022-11-05,00:00:00,rain,7.3,3.7,0.6446360307329891,0.8663233095508169
31,60.20142936008567,10.053641933810892,2022-11-05,02:00:00,rain,7.1,3.5,0.6441716241609654,0.8663233095508169
32,60.20142936008567,10.053641933810892,2022-11-05,03:00:00,rain,7.0,3.6,0.6431459400220739,0.8663233095508169
30,60.20142936008567,10.053641933810892,2022-11-05,01:00:00,rain,7.2,4.2,0.6414351494648727,0.8663233095508169
33,60.20142936008567,10.053641933810892,2022-11-05,04:00:00,lightrain,6.6,2.8,0.2557766522657562,0.8663233095508169
42,59.66183639653443,9.686910471666337,2022-11-05,13:00:00,fair_day,8.7,2.0,0.866087129759459,0.866087129759459
41,59.66183639653443,9.686910471666337,2022-11-05,12:00:00,fair_day,8.4,1.3,0.8647959008665679,0.866087129759459
43,59.66183639653443,9.686910471666337,2022-11-05,14:00:00,fair_night,8.0,1.5,0.8619173794964234,0.866087129759459
40,59.66183639653443,9.686910471666337,2022-11-05,11:00:00,fair_day,7.4,1.4,0.8580732144212901,0.866087129759459
32,59.66183639653443,9.686910471666337,2022-11-05,03:00:00,fair_day,7.4,2.2,0.8570994124227993,0.866087129759459
33,59.66183639653443,9.686910471666337,2022-11-05,04:00:00,fair_day,7.1,1.8,0.8557322237334442,0.866087129759459
30,59.66183639653443,9.686910471666337,2022-11-05,01:00:00,partlycloudy_night,7.8,2.6,0.8550165241654304,0.866087129759459
44,59.66183639653443,9.686910471666337,2022-11-05,15:00:00,clearsky_night,6.5,1.0,0.8549300018183436,0.866087129759459
31,59.66183639653443,9.686910471666337,2022-11-05,02:00:00,partlycloudy_night,7.7,2.8,0.853913238186679,0.866087129759459
34,59.66183639653443,9.686910471666337,2022-11-05,05:00:00,fair_day,6.2,1.5,0.8504971874586243,0.866087129759459
39,59.66183639653443,9.686910471666337,2022-11-05,10:00:00,fair_day,6.1,1.0,0.8503116290751502,0.866087129759459
45,59.66183639653443,9.686910471666337,2022-11-05,16:00:00,fair_night,4.8,0.6,0.8431208773417088,0.866087129759459
38,59.66183639653443,9.686910471666337,2022-11-05,09:00:00,fair_day,4.5,0.6,0.8414999952675766,0.866087129759459
35,59.66183639653443,9.686910471666337,2022-11-05,06:00:00,fair_day,4.5,1.4,0.8409394339924736,0.866087129759459
46,59.66183639653443,9.686910471666337,2022-11-05,17:00:00,fair_night,3.7,0.8,0.8372395301859367,0.866087129759459
36,59.66183639653443,9.686910471666337,2022-11-05,07:00:00,fair_day,3.4,1.2,0.8354718125733192,0.866087129759459
37,59.66183639653443,9.686910471666337,2022-11-05,08:00:00,fair_day,3.3,1.0,0.835131460368508,0.866087129759459
47,59.66183639653443,9.686910471666337,2022-11-05,18:00:00,partlycloudy_night,2.9,0.6,0.8294906558990797,0.866087129759459
29,59.66183639653443,9.686910471666337,2022-11-05,00:00:00,lightrainshowers_night,7.7,1.6,0.2647283507429369,0.866087129759459
41,59.48197207535069,10.053641933810892,2022-11-05,12:00:00,clearsky_day,8.3,1.8,0.8658080455414637,0.8658080455414637
42,59.48197207535069,10.053641933810892,2022-11-05,13:00:00,fair_day,8.2,2.2,0.8623791148404563,0.8658080455414637
40,59.48197207535069,10.053641933810892,2022-11-05,11:00:00,clearsky_day,7.6,1.5,0.8614771170673077,0.8658080455414637
43,59.48197207535069,10.053641933810892,2022-11-05,14:00:00,clearsky_night,7.6,2.0,0.8608934741249258,0.8658080455414637
39,59.48197207535069,10.053641933810892,2022-11-05,10:00:00,clearsky_day,6.3,1.1,0.8536414265484702,0.8658080455414637
44,59.48197207535069,10.053641933810892,2022-11-05,15:00:00,clearsky_night,6.2,1.7,0.8524872819598894,0.8658080455414637
31,59.48197207535069,10.053641933810892,2022-11-05,02:00:00,fair_night,6.5,2.8,0.8502649520390427,0.8658080455414637
32,59.48197207535069,10.053641933810892,2022-11-05,03:00:00,clearsky_day,6.0,2.8,0.8494510648800929,0.8658080455414637
30,59.48197207535069,10.053641933810892,2022-11-05,01:00:00,partlycloudy_night,7.1,3.5,0.8479134214095243,0.8658080455414637
29,59.48197207535069,10.053641933810892,2022-11-05,00:00:00,partlycloudy_night,7.2,4.2,0.8451769467134315,0.8658080455414637
33,59.48197207535069,10.053641933810892,2022-11-05,04:00:00,clearsky_day,4.9,2.5,0.8438078075087786,0.8658080455414637
